"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"alter",1,0,0,1,1,4,0,0,1,0,1,1,0,0,2,2,0,0
"altern",0,1,0,3,1,2,0,0,1,0,0,1,0,0,1,0,0,1
"although",2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"altogeth",0,0,0,0,0,1,0,0,0,2,0,1,1,0,1,0,2,0
"alway",27,33,22,29,23,20,18,13,9,15,10,22,22,13,16,21,11,8
"alway get",1,1,1,1,1,0,0,1,2,0,0,2,0,0,0,0,0,0
"alway said",1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1
"alway talk",0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1
"alway thought",0,2,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0
"alway told",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
"alway tri",0,2,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0
"alway want",0,1,1,4,0,0,1,2,1,0,1,0,2,1,0,1,0,0
"amanda",0,0,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"amaz",5,10,14,7,8,6,10,6,10,5,5,1,4,17,6,1,6,13
"amaz thing",1,0,0,1,0,0,1,1,4,0,0,0,1,0,0,0,0,0
"amazon",0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,14,1,1
"ambul",0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
"amen",3,3,4,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0
"america",11,25,10,13,19,18,26,9,10,10,11,14,8,11,8,19,8,8
"american",6,32,16,22,23,6,43,6,6,10,9,13,12,2,20,7,2,4
"american govern",0,0,4,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0
"among",0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"amongst",1,0,0,1,1,2,1,0,0,0,0,2,0,1,0,2,1,0
"amount",0,0,0,3,0,0,0,1,0,0,0,1,1,1,1,1,0,1
"amus",0,0,3,3,4,6,0,2,0,0,0,0,2,2,0,0,0,1
"anal",7,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0
"anand",0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
"anatomi",0,0,0,1,4,0,0,1,0,0,1,0,9,0,0,0,0,0
"ancestor",0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,6,0,0
"ancient",3,2,4,1,1,1,4,0,0,1,1,7,1,2,4,7,0,2
"anda",0,3,5,0,0,0,1,0,0,0,0,0,6,0,2,0,0,0
"anderson",1,0,0,2,0,1,0,1,2,0,0,1,2,0,0,0,0,0
"angel",5,8,20,5,2,3,7,4,8,11,0,2,2,0,9,1,3,1
"anger",0,0,2,0,0,0,1,1,3,2,1,1,2,2,12,5,0,0
"angl",0,3,0,1,0,0,0,6,0,0,0,2,0,0,5,0,0,0
"angri",0,4,3,6,4,6,4,1,3,5,1,3,5,4,17,5,6,2
"anim",16,9,7,18,4,7,0,25,4,1,2,2,4,3,11,2,1,1
"ankl",0,0,0,0,1,0,0,1,1,2,0,1,0,0,0,1,2,0
"anni",0,0,0,0,0,0,1,2,5,0,0,1,2,0,0,0,6,0
"announc",1,5,3,2,4,4,0,2,3,3,2,1,24,5,3,0,2,1
"annoy",0,4,3,1,0,1,0,0,0,0,3,3,5,1,0,1,1,2
"annual",1,5,2,1,0,0,0,1,1,0,0,0,0,0,4,0,0,0
"anonym",0,3,0,2,0,1,0,0,2,1,0,1,0,0,0,3,1,0
"anoth",13,37,36,46,28,20,21,29,17,21,26,14,26,39,24,20,12,17
"anoth hour",0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
"anoth littl",0,2,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0
"anoth one",1,2,5,6,1,3,6,1,1,2,4,3,1,0,1,0,1,0
"anoth person",0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1
"anoth way",0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0
"answer",3,16,25,10,3,19,8,8,12,13,9,10,11,12,7,6,3,17
"answer door",0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,1,1,0
"answer phone",0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
"answer question",0,0,3,0,1,2,0,2,1,0,0,0,0,0,0,0,0,10
"anus",3,1,0,0,2,1,0,3,0,0,0,2,1,1,3,1,1,0
"anybodi",16,16,14,12,7,27,12,12,10,13,21,12,11,14,10,8,3,3
"anybodi dont",0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"anybodi els",1,1,0,1,2,0,0,1,0,1,2,2,0,2,1,0,0,0
"anybodi know",2,1,2,1,0,1,1,0,0,2,0,0,1,1,0,1,0,0
"anybodi oh",1,0,0,0,0,1,1,1,0,0,0,0,2,0,1,0,0,0
"anybodi right",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
"anymor",9,22,15,23,14,12,34,16,13,20,24,16,21,25,9,18,7,16
"anymor dont",0,0,1,0,0,0,1,1,2,0,0,1,1,1,0,0,0,1
