"Character" "Season" "Episode"
" Toss-A-Ball Operator
" "02" "13"
" Chamber of Farts Operator
" "02" "13"
" Frank Hammond
" "02" "13"
" Halfy
" "02" "13"
" Bob, W.T.H.I.T! host
" "02" "13"
" Tom and Mary
" "02" "13"
" Cowgirl
" "02" "13"
" Cow Memorial
" "02" "13"
" Two Cowboys, one of them Mitchell
" "02" "13"
" FBI sharpshooters
" "02" "13"
" Jack McMack
" "02" "13"
" Dr. Doctor
" "02" "13"
" Stan Marsh
" "02" "14"
" Kyle Broflovski
" "02" "14"
" Eric Cartman
" "02" "14"
" Kenny McCormick
" "02" "14"
" Mr. Garrison
" "02" "14"
" Mr. Twig
" "02" "14"
" Chef
" "02" "14"
" Mr. Big Record Producer
" "02" "14"
" Alanis Morissette
" "02" "14"
" Gerald Broflovski
" "02" "14"
" Sheila Broflovski
" "02" "14"
" Judge Moses
" "02" "14"
" Johnnie Cochran
" "02" "14"
" Dr. Doctor
" "02" "14"
" Reporter
" "02" "14"
" Elton John
" "02" "14"
" Meat Loaf
" "02" "14"
" Ms. Crabtree
" "02" "14"
" Rick James
" "02" "14"
" Mayor McDaniels
" "02" "14"
" Officer Barbrady
" "02" "14"
" Mr. Hat
" "02" "14"
" Teen MC
" "02" "14"
" Rancid
" "02" "14"
" Primus
" "02" "14"
" Mr. Mackey
" "02" "14"
" Joe Strummer
" "02" "14"
" Ozzy Ozbourne
" "02" "14"
" Ween
" "02" "14"
" Stan Marsh
" "02" "15"
" Evil Stan Marsh
" "02" "15"
" Kyle Broflovski
" "02" "15"
" Evil Kyle Broflovski
" "02" "15"
" Eric Cartman
" "02" "15"
" Evil Eric Cartman
" "02" "15"
" Kenny McCormick
" "02" "15"
" Stan's Spooky Fish
" "02" "15"
" Sparky Marsh
" "02" "15"
" Mr. Kitty
" "02" "15"
" Chef
" "02" "15"
" Randy Marsh
" "02" "15"
" Sharon Marsh
" "02" "15"
" Flo Kimble
" "02" "15"
" Mrs. McCormick
" "02" "15"
" Stuart McCormick
" "02" "15"
" Officer Barbrady
" "02" "15"
" Indian Burial Ground Pet Store Clerk
" "02" "15"
" Mayor McDaniels
" "02" "15"
" Johnson
" "02" "15"
" Stan Marsh
" "02" "16"
" Kyle Broflovski 
" "02" "16"
" Eric Cartman
" "02" "16"
" Kenny McCormick
" "02" "16"
" Liane Cartman
" "02" "16"
" Grandma Cartman
" "02" "16"
" Grandpa Harold Cartman
" "02" "16"
" Uncle Stinky Cartman
" "02" "16"
" Aunt Lisa Cartman
" "02" "16"
" Cousin Fred Cartman
" "02" "16"
" Cousin Alexandra Cartman
" "02" "16"
" Fat Bob Cartman
" "02" "16"
" Jimmy, the fat bulldog
" "02" "16"
" Great-Grandma Florence Cartman
" "02" "16"
" Elvin Cartman
" "02" "16"
" Uncle Howard Cartman
" "02" "16"
" Charlie Manson
" "02" "16"
" Sharon Marsh
" "02" "16"
" Randy Marsh
" "02" "16"
" Shelly Marsh
" "02" "16"
" Gerald Broflovski
" "02" "16"
" Sheila Broflovski
" "02" "16"
" Mrs. McCormick
" "02" "16"
" Stuart McCormick
" "02" "16"
" Mall Hankey
" "02" "16"
" Police, with Chief Stevens
" "02" "16"
" Reporter Robert Pooner
" "02" "16"
" Stan Marsh
" "02" "17"
" Kyle Broflovski
" "02" "17"
" Eric Cartman
" "02" "17"
" Kenny McCormick
" "02" "17"
" Mr. Garrison
" "02" "17"
" Tweek Tweak
" "02" "17"
" Richard Tweak
" "02" "17"
" Mrs. Tweak
" "02" "17"
" John Postum
" "02" "17"
" Officer Barbrady
" "02" "17"
" South Park Town Commitee
" "02" "17"
" Underpants Gnomes
" "02" "17"
" Sanchez
" "02" "17"
" Camel Joe, Harbucks Mascot
" "02" "17"
" Mayor McDaniels
" "02" "17"
" Johnson
" "02" "17"
" Ted
" "02" "17"
" Billy, the kid
" "02" "17"
" Stan Marsh
" "02" "18"
" Kyle Broflovski
" "02" "18"
" Eric Cartman
" "02" "18"
" Kenny McCormick
" "02" "18"
" Aussie
" "02" "18"
" Larry, the Prehistoric Ice Man
" "02" "18"
" Mayor McDaniels
" "02" "18"
" Dr. Mephesto
" "02" "18"
" Federal Agents
" "02" "18"
" Reporters
" "02" "18"
" Leslie
" "02" "18"
" Buck
" "02" "18"
" Officer Barbrady and his officers
" "02" "18"
" Train Station Clerk
" "02" "18"
" Train Conductor
" "02" "18"
" Helicopter Pilot
" "02" "18"
" Marilyn Manson
" "02" "18"
" Stan Marsh
" "03" "01"
" Kyle Broflovski
" "03" "01"
" Kenny McCormick
" "03" "01"
" Eric Cartman
" "03" "01"
" Mr. Mackey
" "03" "01"
" Miss Stevens
" "03" "01"
" \"Getting Gay With Kids\" Choir
" "03" "01"
" Craig Tucker
" "03" "01"
" Jake
" "03" "01"
" Kelly
" "03" "01"
" Costa Rican prostitutes
" "03" "01"
" El Presidente de Costa Rica
" "03" "01"
